176.9.117.99 - - "2020-03-16 01:21:15" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/231 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:19" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/94 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:25" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/133 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:30" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/197 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:33" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/269 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:36" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/188 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:41" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/189 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:45" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/91 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:48" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/104 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:54" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/220 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:21:59" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/206 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:22:03" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/115 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:22:08" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/228 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:22:13" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/80 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:22:16" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/226 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:22:20" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/52 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:22:24" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/98 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
